dt,base_byers_price_index,key_rate,dollar_rate
2020-09-01,,4.25,73.8039
2020-09-02,,4.25,73.5849
2020-09-03,,4.25,73.8588
2020-09-04,,4.25,75.468
2020-09-05,,,75.1823
2020-09-07,,4.25,
2020-09-08,,4.25,75.591
2020-09-09,,4.25,75.9645
2020-09-10,,4.25,76.0713
2020-09-11,,4.25,75.5274
2020-09-12,,,74.8896
2020-09-14,,4.25,
2020-09-15,,4.25,74.7148
2020-09-16,,4.25,75.1884
2020-09-17,,4.25,74.9278
2020-09-18,,4.25,75.1941
2020-09-19,,,75.0319
2020-09-21,,4.25,
2020-09-22,,4.25,76.0381
2020-09-23,,4.25,76.2711
2020-09-24,,4.25,76.3545
2020-09-25,,4.25,77.178
2020-09-26,,,76.8195
2020-09-28,,4.25,
2020-09-29,,4.25,78.6713
2020-09-30,,4.25,79.6845
2020-10-01,,4.25,78.7847
2020-10-02,,4.25,77.2774
2020-10-03,,,78.0915
2020-10-05,,4.25,
2020-10-06,,4.25,78.1281
2020-10-07,,4.25,78.5119
2020-10-08,,4.25,78.0921
2020-10-09,,4.25,77.9157
2020-10-10,,,77.0284
2020-10-12,,4.25,
2020-10-13,,4.25,77.0239
2020-10-14,,4.25,77.2855
2020-10-15,,4.25,77.2759
2020-10-16,,4.25,77.9461
2020-10-17,,,77.9644
2020-10-19,,4.25,
2020-10-20,,4.25,77.9241
2020-10-21,,4.25,77.778
2020-10-22,,4.25,77.0322
2020-10-23,,4.25,77.0809
2020-10-24,,,76.4667
2020-10-26,,4.25,
2020-10-27,,4.25,76.4443
2020-10-28,,4.25,76.4556
2020-10-29,,4.25,77.552
2020-10-30,,4.25,78.8699
2020-10-31,,,79.3323
2020-11-02,,4.25,
2020-11-03,,4.25,80.5749
2020-11-04,,,80.0006
2020-11-05,,4.25,
2020-11-06,,4.25,78.4559
2020-11-07,,,77.1875
2020-11-09,,4.25,
2020-11-10,,4.25,76.9515
2020-11-11,,4.25,76.3978
2020-11-12,,4.25,76.2075
2020-11-13,,4.25,77.1148
2020-11-14,,,77.3262
2020-11-16,,4.25,
2020-11-17,,4.25,76.9197
2020-11-18,,4.25,76.253
2020-11-19,,4.25,75.9268
2020-11-20,,4.25,76.2627
2020-11-21,,,76.012
2020-11-23,,4.25,
2020-11-24,,4.25,75.76
2020-11-25,,4.25,75.8146
2020-11-26,,4.25,75.4727
2020-11-27,,4.25,75.4518
2020-11-28,,,75.8599
2020-11-30,,4.25,
2020-12-01,,4.25,76.1999
2020-12-02,,4.25,76.3203
2020-12-03,,4.25,75.6151
2020-12-04,,4.25,75.1996
2020-12-05,,,74.2529
2020-12-07,,4.25,
2020-12-08,,4.25,74.2506
2020-12-09,,4.25,73.6618
2020-12-10,,4.25,73.3057
2020-12-11,,4.25,73.7124
2020-12-12,,,73.1195
2020-12-14,,4.25,
2020-12-15,,4.25,72.9272
2020-12-16,,4.25,73.4453
2020-12-17,,4.25,73.4201
2020-12-18,,4.25,72.9781
2020-12-19,,,73.3155
2020-12-21,,4.25,
2020-12-22,,4.25,74.6721
2020-12-23,,4.25,75.3498
2020-12-24,,4.25,75.4571
2020-12-25,,4.25,74.8392
2020-12-26,,,73.6921
2020-12-28,,4.25,
2020-12-29,,4.25,73.7175
2020-12-30,,4.25,73.6567
2020-12-31,,4.25,73.8757
2021-01-01,,,73.8757
2021-01-04,,4.25,
2021-01-05,,4.25,
2021-01-06,,4.25,
2021-01-08,,4.25,
2021-01-11,,4.25,
2021-01-12,,4.25,74.5157
2021-01-13,,4.25,74.2663
2021-01-14,,4.25,73.5264
2021-01-15,,4.25,73.7961
2021-01-16,,,73.5453
2021-01-18,,4.25,
2021-01-19,,4.25,73.9735
2021-01-20,,4.25,73.7243
2021-01-21,,4.25,73.355
2021-01-22,,4.25,73.3694
2021-01-23,,,74.3615
2021-01-25,,4.25,
2021-01-26,,4.25,74.8569
2021-01-27,,4.25,75.6354
2021-01-28,,4.25,75.04
2021-01-29,,4.25,76.1854
2021-01-30,,,76.2527
2021-01-31,100.5,,
2021-02-01,,4.25,
2021-02-02,,4.25,75.5053
2021-02-03,,4.25,75.9051
2021-02-04,,4.25,76.0801
2021-02-05,,4.25,75.7293
2021-02-06,,,75.1107
2021-02-08,,4.25,
2021-02-09,,4.25,74.2602
2021-02-10,,4.25,74.1192
2021-02-11,,4.25,73.8526
2021-02-12,,4.25,73.7579
